HGNC ID	Approved symbol	RefSeq IDs	NCBI Gene ID	Ensembl gene ID	UniProt ID(supplied by UniProt)
HGNC:4492	GPR35	NM_001195382	2859	ENSG00000178623	Q9HC97
HGNC:4493	GPR36		2860		
HGNC:4494	GPR37	NM_005302	2861	ENSG00000170775	O15354
HGNC:14923	GPR37L1	NM_004767	9283	ENSG00000170075	O60883
HGNC:4496	GPR39		2863	ENSG00000183840	O43194
HGNC:4500	GPR42	NM_005305	2866	ENSG00000126251	O15529
HGNC:4503	GPR45	NM_007227	11250	ENSG00000135973	Q9Y5Y3
HGNC:4506	GPR50	NM_004224	9248	ENSG00000102195	Q13585
HGNC:40259	GPR50-AS1		100128688	ENSG00000234696	
HGNC:4508	GPR52	NM_005684	9293	ENSG00000203737	Q9Y2T5
HGNC:4509	GPR53P	NG_001217	9292	ENSG00000229281	
HGNC:4511	GPR55	NM_005683	9290	ENSG00000135898	Q9Y2T6
HGNC:13300	GPR61	NM_031936	83873	ENSG00000156097	Q9BZJ8
HGNC:13301	GPR62		118442	ENSG00000180929	Q9BZJ7
HGNC:13302	GPR63		81491	ENSG00000112218	Q9BZJ6
HGNC:4517	GPR65		8477	ENSG00000140030	Q8IYL9
HGNC:13837	GPR67				
HGNC:4519	GPR68		8111	ENSG00000119714	Q15743
HGNC:4520	GPR69A				
HGNC:4521	GPR69B				
HGNC:13304	GPR70				
HGNC:13305	GPR71				
HGNC:4534	GPR72				
HGNC:4526	GPR75		10936	ENSG00000119737	O95800
HGNC:40043	GPR75-ASB3		100302652	ENSG00000270898	
HGNC:4528	GPR78		27201	ENSG00000155269	Q96P69
HGNC:4529	GPR79		27200	ENSG00000232374	
HGNC:4533	GPR82	NM_080817	27197	ENSG00000171657	Q96P67
HGNC:4523	GPR83	NM_016540	10888	ENSG00000123901	Q9NYM4
HGNC:4535	GPR84		53831	ENSG00000139572	Q9NQS5
HGNC:4536	GPR85		54329	ENSG00000164604	P60893
HGNC:4538	GPR87		53836	ENSG00000138271	Q9BY21
HGNC:4539	GPR88	NM_022049	54112	ENSG00000181656	Q9GZN0
HGNC:31984	GPR89A	NM_001097612	653519	ENSG00000117262	B7ZAQ6
HGNC:13840	GPR89B	NM_016334	51463	ENSG00000188092	P0CG08
HGNC:31985	GPR89C				
HGNC:13951	GPR89P		394254	ENSG00000216915	
HGNC:4541	GPR90				
HGNC:13660	GPR93				
HGNC:13661	GPR94				
HGNC:13662	GPR95				
HGNC:14591	GPR99				
HGNC:14963	GPR101		83550	ENSG00000165370	Q96P66
HGNC:15670	GPR104				
HGNC:17830	GPR107		57720	ENSG00000148358	Q5VW38
HGNC:17829	GPR108		56927	ENSG00000125734	Q9NPR9
HGNC:19060	GPR119	NM_178471	139760	ENSG00000147262	Q8TDV5
HGNC:19345	GPR129				
HGNC:19346	GPR130				
HGNC:17482	GPR132	NM_013345	29933	ENSG00000183484	Q9UNW8
HGNC:19976	GPR134				
HGNC:19991	GPR135	NM_022571	64582	ENSG00000181619	Q8IZ08
HGNC:24300	GPR137	NM_020155	56834	ENSG00000173264	Q96N19
HGNC:11862	GPR137B	NM_003272	7107	ENSG00000077585	O60478
HGNC:25445	GPR137C	NM_001099652	283554	ENSG00000180998	Q8N3F9
HGNC:19995	GPR139	NM_001002911	124274	ENSG00000180269	Q6DWJ6
HGNC:19996	GPR140				
HGNC:19997	GPR141	NM_181791	353345	ENSG00000187037	Q7Z602
HGNC:53813	GPR141BP		100420413	ENSG00000283444	
HGNC:20088	GPR142	NM_181790	350383	ENSG00000257008	Q7Z601
HGNC:20145	GPR143	NM_000273	4935	ENSG00000101850	P51810
HGNC:18499	GPR143P	NG_002814	352896	ENSG00000232583	
HGNC:21718	GPR146	NM_138445	115330	ENSG00000164849	Q96CH1
HGNC:23623	GPR148	NM_207364	344561	ENSG00000173302	Q8TDV2
HGNC:23627	GPR149	NM_001038705	344758	ENSG00000174948	Q86SP6
HGNC:23628	GPR150		285601	ENSG00000178015	Q8NGU9
HGNC:23624	GPR151	NM_194251	134391	ENSG00000173250	Q8TDV0
HGNC:23622	GPR152		390212	ENSG00000175514	Q8TDT2
HGNC:23618	GPR153		387509	ENSG00000158292	Q6NV75
HGNC:22951	GPR155	NM_152529	151556	ENSG00000163328	Q7Z3F1
HGNC:20844	GPR156	NM_153002	165829	ENSG00000175697	Q8NFN8
HGNC:23687	GPR157	NM_024980	80045	ENSG00000180758	Q5UAW9
HGNC:23689	GPR158	NM_020752	57512	ENSG00000151025	Q5T848
HGNC:44163	GPR158-AS1	NR_027333	100128811	ENSG00000233642	
HGNC:23693	GPR160	NM_014373	26996	ENSG00000173890	Q9UJ42
HGNC:54682	GPR160P1	NG_021512	100130649	ENSG00000203363	
HGNC:54683	GPR160P2	NG_026241	100420482	ENSG00000265863	
HGNC:23694	GPR161	NM_007369	23432	ENSG00000143147	Q8N6U8
HGNC:16693	GPR162	NM_019858	27239	ENSG00000250510	Q16538
HGNC:21462	GPR165P	NG_005303	392486		
HGNC:23626	GPR166P	NG_025935	442206		
HGNC:30057	GPR171	NM_013308	29909	ENSG00000174946	O14626
HGNC:18186	GPR173	NM_018969	54328	ENSG00000184194	Q9NS66
HGNC:30245	GPR174	NM_032553	84636	ENSG00000147138	Q9BXC1
HGNC:32370	GPR176	NM_007223	11245	ENSG00000166073	Q14439
HGNC:54389	GPR176-DT		100505534	ENSG00000246863	
HGNC:31371	GPR179		440435	ENSG00000277399	Q6PRD1
HGNC:28899	GPR180	NM_180989	160897	ENSG00000152749	Q86V85
HGNC:13708	GPR182	NM_007264	11318	ENSG00000166856	O15218
HGNC:3128	GPR183	NM_004951	1880	ENSG00000169508	P32249
HGNC:55170	GPR199P		653160	ENSG00000241014	
HGNC:53957	GPRACR	NR_135124	401554	ENSG00000196979	
HGNC:24834	GPRASP1	NM_014710	9737	ENSG00000198932	Q5JY77
HGNC:25169	GPRASP2	NM_138437	114928	ENSG00000158301	Q96D09
HGNC:9836	GPRC5A	NM_003979	9052	ENSG00000013588	Q8NFJ5
HGNC:13308	GPRC5B		51704	ENSG00000167191	Q9NZH0
HGNC:13309	GPRC5C		55890	ENSG00000170412	Q9NQ84
HGNC:13310	GPRC5D		55507	ENSG00000111291	Q9NZD1
HGNC:53599	GPRC5D-AS1			ENSG00000247498	
HGNC:18510	GPRC6A		222545	ENSG00000173612	Q5T6X5
HGNC:24835	GPRIN1	NM_052899	114787	ENSG00000169258	Q7Z2K8
HGNC:23730	GPRIN2	NM_014696	9721	ENSG00000204175	O60269
HGNC:27733	GPRIN3	NM_198281	285513	ENSG00000185477	Q6ZVF9
HGNC:4546	GPRK6L				
HGNC:4548	GPRK7				
HGNC:4549	GPS1	NM_212492	2873	ENSG00000169727	Q13098
HGNC:4550	GPS2	NM_004489	2874	ENSG00000132522	Q13227
HGNC:49622	GPS2P1	NG_021604	392281	ENSG00000236496	
HGNC:49623	GPS2P2	NG_022285	100132058	ENSG00000230951	
HGNC:17858	GPSM1	NM_015597	26086	ENSG00000160360	Q86YR5
HGNC:29501	GPSM2	NM_013296	29899	ENSG00000121957	P81274
HGNC:13945	GPSM3	NM_022107	63940	ENSG00000213654	Q9Y4H4
HGNC:4552	GPT		2875	ENSG00000167701	P24298
HGNC:18062	GPT2		84706	ENSG00000166123	Q8TD30
HGNC:4553	GPX1	NM_000581	2876	ENSG00000233276	P07203
HGNC:4560	GPX1P1		441481	ENSG00000197582	
HGNC:4561	GPX1P2		2884	ENSG00000215326	
HGNC:4554	GPX2		2877	ENSG00000176153	P18283
HGNC:4555	GPX3		2878	ENSG00000211445	P22352
HGNC:4556	GPX4	NM_002085	2879	ENSG00000167468	P36969
HGNC:4557	GPX5		2880	ENSG00000224586	O75715
HGNC:4558	GPX6		257202	ENSG00000198704	P59796
HGNC:4559	GPX7	NM_015696	2882	ENSG00000116157	Q96SL4
HGNC:33100	GPX8	NM_001008397	493869	ENSG00000164294	Q8TED1
HGNC:13952	GPXP3				
HGNC:29305	GRAMD1A	NM_020895	57655	ENSG00000089351	Q96CP6
HGNC:55275	GRAMD1A-AS1			ENSG00000269303	
HGNC:29214	GRAMD1B	NM_001286563	57476	ENSG00000023171	Q3KR37
HGNC:25252	GRAMD1C	NM_017577	54762	ENSG00000178075	Q8IYS0
HGNC:27287	GRAMD2A	NM_001012642	196996	ENSG00000175318	Q8IUY3
HGNC:24911	GRAMD2B	NM_023927	65983	ENSG00000155324	Q96HH9
HGNC:29113	GRAMD4	NM_015124	23151	ENSG00000075240	Q6IC98
HGNC:39653	GRAMD4P1		100631252	ENSG00000227874	
HGNC:39654	GRAMD4P2		100873881	ENSG00000235992	
HGNC:49138	GRAMD4P3		100631248	ENSG00000278301	
HGNC:49139	GRAMD4P4			ENSG00000274369	
HGNC:49140	GRAMD4P5		100631249	ENSG00000259089	
HGNC:49141	GRAMD4P6		100631250	ENSG00000258848	
HGNC:49142	GRAMD4P7		100631251	ENSG00000266242	
